date,state,fips,cases,deaths
2021-01-03,Montana,30,82381,972
2021-01-03,Nebraska,31,170037,1708
2021-01-03,Nevada,32,231869,3195
2021-01-03,New Hampshire,33,46450,780
2021-01-03,New Jersey,34,494063,19208
2021-01-03,New Mexico,35,146394,2553
2021-01-03,New York,36,1024154,38001
2021-01-03,North Carolina,37,565260,6963
2021-01-03,North Dakota,38,93048,1317
2021-01-03,Northern Mariana Islands,69,122,2
2021-01-03,Ohio,39,721481,9076
2021-01-03,Oklahoma,40,304072,2547
2021-01-03,Oregon,41,117745,1510
2021-01-03,Pennsylvania,42,666207,16324
2021-01-03,Puerto Rico,72,111784,1545
2021-01-03,Rhode Island,44,87949,1777
2021-01-03,South Carolina,45,321669,5469
2021-01-03,South Dakota,46,100532,1513
2021-01-03,Tennessee,47,593363,6962
2021-01-03,Texas,48,1808382,28554
2021-01-03,Utah,49,283473,1301
2021-01-03,Vermont,50,7793,140
2021-01-03,Virgin Islands,78,2042,23
2021-01-03,Virginia,51,363765,5124
2021-01-03,Washington,53,258557,3524
2021-01-03,West Virginia,54,91058,1376
2021-01-03,Wisconsin,55,526245,5264
2021-01-03,Wyoming,56,44875,438
2021-01-04,Alabama,01,374095,4878
2021-01-04,Alaska,02,48110,209
2021-01-04,Arizona,04,561542,9064
2021-01-04,Arkansas,05,234781,3800
2021-01-04,California,06,2474639,26995
2021-01-04,Colorado,08,345239,5011
2021-01-04,Connecticut,09,194636,6168
2021-01-04,Delaware,10,60333,937
2021-01-04,District of Columbia,11,29904,797
2021-01-04,Florida,12,1376684,22089
2021-01-04,Georgia,13,672849,10623
2021-01-04,Guam,66,8313,124
2021-01-04,Hawaii,15,22092,287
2021-01-04,Idaho,16,143833,1462
2021-01-04,Illinois,17,987459,18414
2021-01-04,Indiana,18,532671,8514
2021-01-04,Iowa,19,286356,3992
2021-01-04,Kansas,20,234390,2897
2021-01-04,Kentucky,21,282097,3067
2021-01-04,Louisiana,22,322181,7585
2021-01-04,Maine,23,25968,360
2021-01-04,Maryland,24,287970,6027
2021-01-04,Massachusetts,25,392582,12669
2021-01-04,Michigan,26,541158,13381
2021-01-04,Minnesota,27,423747,5502
2021-01-04,Mississippi,28,223677,4884
2021-01-04,Missouri,29,429745,5941
2021-01-04,Montana,30,82753,975
2021-01-04,Nebraska,31,170778,1727
2021-01-04,Nevada,32,233324,3209
2021-01-04,New Hampshire,33,47328,781
2021-01-04,New Jersey,34,545155,19244
2021-01-04,New Mexico,35,147315,2576
2021-01-04,New York,36,1035396,38167
2021-01-04,North Carolina,37,572018,7000
2021-01-04,North Dakota,38,93247,1319
2021-01-04,Northern Mariana Islands,69,122,2
2021-01-04,Ohio,39,727423,9143
2021-01-04,Oklahoma,40,306771,2552
2021-01-04,Oregon,41,118473,1517
2021-01-04,Pennsylvania,42,670769,16394
2021-01-04,Puerto Rico,72,112420,1555
2021-01-04,Rhode Island,44,92708,1855
2021-01-04,South Carolina,45,325472,5484
2021-01-04,South Dakota,46,100643,1513
2021-01-04,Tennessee,47,597201,7101
2021-01-04,Texas,48,1831486,28681
2021-01-04,Utah,49,285633,1307
2021-01-04,Vermont,50,7873,144
2021-01-04,Virgin Islands,78,2042,23
2021-01-04,Virginia,51,367536,5132
2021-01-04,Washington,53,261328,3558
2021-01-04,West Virginia,54,91886,1396
2021-01-04,Wisconsin,55,527871,5273
2021-01-04,Wyoming,56,45247,438
2021-01-05,Alabama,01,379593,4886
2021-01-05,Alaska,02,48302,209
2021-01-05,Arizona,04,571676,9354
2021-01-05,Arkansas,05,238888,3836
2021-01-05,California,06,2511923,27486
2021-01-05,Colorado,08,348483,5058
2021-01-05,Connecticut,09,196968,6192
2021-01-05,Delaware,10,61100,947
2021-01-05,District of Columbia,11,30166,801
2021-01-05,Florida,12,1392115,22187
2021-01-05,Georgia,13,682749,10725
2021-01-05,Guam,66,8326,124
2021-01-05,Hawaii,15,22199,287
2021-01-05,Idaho,16,145134,1474
2021-01-05,Illinois,17,994511,18569
2021-01-05,Indiana,18,536084,8663
2021-01-05,Iowa,19,288298,3999
2021-01-05,Kansas,20,234700,2897
2021-01-05,Kentucky,21,284545,3093
2021-01-05,Louisiana,22,326648,7635
2021-01-05,Maine,23,26565,369
2021-01-05,Maryland,24,289927,6082
2021-01-05,Massachusetts,25,397202,12734
2021-01-05,Michigan,26,544276,13598
2021-01-05,Minnesota,27,425320,5520
2021-01-05,Mississippi,28,225444,4975
2021-01-05,Missouri,29,432830,6123
2021-01-05,Montana,30,83529,1006
2021-01-05,Nebraska,31,172067,1747
2021-01-05,Nevada,32,235710,3246
2021-01-05,New Hampshire,33,47992,792
2021-01-05,New Jersey,34,551419,19382
2021-01-05,New Mexico,35,148499,2596
2021-01-05,New York,36,1048538,38315
2021-01-05,North Carolina,37,578309,7080
2021-01-05,North Dakota,38,93501,1336
2021-01-05,Northern Mariana Islands,69,122,2
2021-01-05,Ohio,39,735003,9247
2021-01-05,Oklahoma,40,308268,2571
2021-01-05,Oregon,41,119508,1550
2021-01-05,Pennsylvania,42,679760,16583
2021-01-05,Puerto Rico,72,112934,1562
2021-01-05,Rhode Island,44,93852,1870
2021-01-05,South Carolina,45,328073,5498
2021-01-05,South Dakota,46,101076,1513
2021-01-05,Tennessee,47,602397,7200
2021-01-05,Texas,48,1862478,28949
2021-01-05,Utah,49,288951,1314
2021-01-05,Vermont,50,8038,149
2021-01-05,Virgin Islands,78,2042,23
2021-01-05,Virginia,51,371913,5191
